epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0252,1.55962,4.73554,1.32425,0.02645,0.05437,0.01653,0.01025,1.31886,4.363,1.02172,8.03534e-05,8.03534e-05,8.03534e-05
2,27.7904,1.37426,3.97885,1.14699,0.45355,0.09883,0.08045,0.04747,1.40108,3.28332,1.11577,0.000160086,0.000160086,0.000160086
3,40.332,1.40299,3.21456,1.21154,0.48751,0.19681,0.18611,0.11084,1.43248,2.4556,1.21395,0.000238208,0.000238208,0.000238208
4,52.4279,1.39734,2.61274,1.24099,0.36776,0.27879,0.29028,0.17703,1.37589,1.97593,1.19565,0.000236753,0.000236753,0.000236753
5,65.1315,1.39002,2.2528,1.25175,0.46317,0.34327,0.38552,0.23539,1.38955,1.71675,1.23956,0.000234338,0.000234338,0.000234338
6,76.9102,1.34515,2.13836,1.22924,0.54534,0.42093,0.46419,0.29068,1.34475,1.49364,1.21071,0.000231922,0.000231922,0.000231922
7,91.0498,1.35017,1.83545,1.25269,0.58243,0.49455,0.53727,0.33367,1.34369,1.35579,1.20988,0.000229506,0.000229506,0.000229506
8,102.952,1.32965,1.71143,1.22493,0.57116,0.54042,0.56863,0.34827,1.36333,1.28413,1.22084,0.000227091,0.000227091,0.000227091
9,115.025,1.30024,1.60175,1.21562,0.61502,0.56225,0.60062,0.36953,1.374,1.2122,1.21999,0.000224675,0.000224675,0.000224675
10,127.426,1.28043,1.52148,1.2115,0.63721,0.62853,0.65428,0.41462,1.31526,1.12773,1.19711,0.00022226,0.00022226,0.00022226
11,139.805,1.2749,1.47744,1.21538,0.67579,0.66643,0.68808,0.42494,1.31268,1.07353,1.19834,0.000219844,0.000219844,0.000219844
12,151.499,1.26165,1.39778,1.20233,0.65067,0.67501,0.69156,0.43599,1.30479,1.09098,1.18883,0.000217428,0.000217428,0.000217428
13,163.308,1.23545,1.35341,1.18739,0.69691,0.68571,0.71883,0.45248,1.31742,1.01234,1.2017,0.000215013,0.000215013,0.000215013
14,174.84,1.23941,1.3232,1.18287,0.73996,0.71265,0.75701,0.47424,1.31463,0.96667,1.19896,0.000212597,0.000212597,0.000212597
15,186.351,1.2059,1.26234,1.18181,0.74393,0.70301,0.76774,0.48271,1.30123,0.96885,1.18763,0.000210182,0.000210182,0.000210182
16,197.979,1.22487,1.24521,1.18273,0.74446,0.72596,0.77407,0.4946,1.28185,0.92652,1.18018,0.000207766,0.000207766,0.000207766
17,209.657,1.20229,1.24558,1.17266,0.80442,0.71717,0.78932,0.49893,1.2937,0.91855,1.17771,0.00020535,0.00020535,0.00020535
18,221.562,1.19409,1.2309,1.17459,0.79346,0.7338,0.802,0.50825,1.2771,0.90466,1.18178,0.000202935,0.000202935,0.000202935
19,233.25,1.18593,1.18738,1.15962,0.81023,0.73739,0.82349,0.50831,1.31689,0.8797,1.17867,0.000200519,0.000200519,0.000200519
20,244.976,1.16695,1.15704,1.14954,0.81733,0.75239,0.82588,0.52377,1.27541,0.86831,1.17205,0.000198104,0.000198104,0.000198104
21,256.574,1.18225,1.17036,1.16653,0.78179,0.76241,0.8218,0.51106,1.31584,0.87658,1.19338,0.000195688,0.000195688,0.000195688
22,268.484,1.18715,1.1299,1.15959,0.79688,0.78532,0.83306,0.52855,1.2709,0.84249,1.17022,0.000193272,0.000193272,0.000193272
23,280.13,1.15451,1.09811,1.14735,0.82613,0.77977,0.84435,0.54279,1.27227,0.82075,1.16766,0.000190857,0.000190857,0.000190857
24,291.796,1.14957,1.08699,1.14074,0.8254,0.789,0.84962,0.54159,1.26412,0.82581,1.1721,0.000188441,0.000188441,0.000188441
25,303.521,1.15958,1.11304,1.14504,0.80301,0.7834,0.84145,0.53775,1.27047,0.81195,1.17032,0.000186026,0.000186026,0.000186026
26,315.09,1.12886,1.04767,1.14069,0.84717,0.78969,0.85497,0.54271,1.26899,0.81094,1.17239,0.00018361,0.00018361,0.00018361
27,326.895,1.13765,1.05143,1.13863,0.82868,0.7948,0.85343,0.54186,1.28002,0.8062,1.17557,0.000181194,0.000181194,0.000181194
28,338.788,1.12909,1.03078,1.11706,0.86553,0.7958,0.86,0.55465,1.2558,0.79027,1.15875,0.000178779,0.000178779,0.000178779
29,350.403,1.13445,1.0225,1.14299,0.83958,0.79341,0.85334,0.54171,1.28583,0.78927,1.19063,0.000176363,0.000176363,0.000176363
30,362.552,1.11962,0.98924,1.12227,0.82396,0.81591,0.86431,0.55408,1.24794,0.77349,1.15781,0.000173948,0.000173948,0.000173948
31,375.725,1.09221,0.98911,1.11001,0.84714,0.82066,0.86994,0.55911,1.25678,0.7685,1.16036,0.000171532,0.000171532,0.000171532
32,388.497,1.11065,0.99157,1.12385,0.85233,0.81293,0.87023,0.56267,1.26123,0.76063,1.16608,0.000169116,0.000169116,0.000169116
33,400.703,1.09802,0.9806,1.11643,0.85722,0.81493,0.87576,0.55431,1.28047,0.76205,1.17429,0.000166701,0.000166701,0.000166701
34,413.218,1.09272,0.96818,1.11242,0.8637,0.82325,0.87935,0.56356,1.25543,0.76409,1.16186,0.000164285,0.000164285,0.000164285
35,425.717,1.08469,0.97307,1.10919,0.85964,0.82793,0.88064,0.57295,1.24498,0.73847,1.15644,0.00016187,0.00016187,0.00016187
36,437.514,1.08976,0.96406,1.10491,0.869,0.80319,0.87378,0.56387,1.25615,0.7456,1.16506,0.000159454,0.000159454,0.000159454
37,449.2,1.07648,0.9309,1.10363,0.86725,0.83012,0.8802,0.56869,1.24971,0.7363,1.15889,0.000157038,0.000157038,0.000157038
38,461.437,1.05863,0.92304,1.08615,0.84652,0.83107,0.87423,0.56776,1.244,0.73184,1.1491,0.000154623,0.000154623,0.000154623
39,474.16,1.07207,0.92091,1.09963,0.87115,0.83934,0.88743,0.57136,1.26166,0.73004,1.16754,0.000152207,0.000152207,0.000152207
40,486.239,1.06579,0.9171,1.10136,0.8786,0.81629,0.88295,0.5718,1.24926,0.72582,1.14851,0.000149792,0.000149792,0.000149792
41,498.597,1.04832,0.90561,1.09731,0.89326,0.80706,0.88564,0.5651,1.25721,0.72819,1.16131,0.000147376,0.000147376,0.000147376
42,510.952,1.07355,0.92075,1.098,0.86896,0.83547,0.88944,0.57272,1.25874,0.71765,1.15491,0.00014496,0.00014496,0.00014496
43,523.187,1.05658,0.90168,1.09112,0.85818,0.85374,0.89173,0.57855,1.25333,0.71664,1.16098,0.000142545,0.000142545,0.000142545
44,535.019,1.02916,0.87942,1.08096,0.87829,0.85402,0.89798,0.57595,1.25869,0.70436,1.16163,0.000140129,0.000140129,0.000140129
45,546.743,1.05312,0.90781,1.09438,0.86724,0.8563,0.89806,0.58308,1.24048,0.69945,1.15241,0.000137714,0.000137714,0.000137714
46,558.644,1.0385,0.87613,1.08349,0.89313,0.83803,0.89571,0.58165,1.24502,0.69752,1.15909,0.000135298,0.000135298,0.000135298
47,571.08,1.02862,0.85544,1.07981,0.87291,0.83436,0.88977,0.5833,1.23449,0.6993,1.15714,0.000132882,0.000132882,0.000132882
48,582.989,1.01702,0.84906,1.07649,0.86624,0.84445,0.89231,0.57712,1.24509,0.70026,1.15827,0.000130467,0.000130467,0.000130467
49,594.951,1.02556,0.865,1.08145,0.89615,0.83333,0.89363,0.58221,1.24424,0.69353,1.15317,0.000128051,0.000128051,0.000128051
50,606.837,1.02299,0.86053,1.07999,0.88455,0.84132,0.89479,0.57831,1.25736,0.68871,1.1656,0.000125636,0.000125636,0.000125636
51,618.827,1.02584,0.84632,1.07722,0.89381,0.83916,0.9022,0.58147,1.25022,0.6846,1.15336,0.00012322,0.00012322,0.00012322
52,630.496,1.02138,0.85752,1.07012,0.88863,0.83817,0.89586,0.58093,1.24645,0.6872,1.15552,0.000120804,0.000120804,0.000120804
53,642.255,1.01176,0.83385,1.07722,0.89839,0.83314,0.897,0.58388,1.24229,0.67906,1.15522,0.000118389,0.000118389,0.000118389
54,654.194,1.00962,0.8254,1.06623,0.89759,0.84726,0.89843,0.58556,1.23999,0.68084,1.14642,0.000115973,0.000115973,0.000115973
55,666.326,0.99376,0.82516,1.06016,0.86973,0.85672,0.89538,0.58314,1.25342,0.68291,1.16115,0.000113558,0.000113558,0.000113558
56,678.091,0.98691,0.83087,1.06719,0.89552,0.84497,0.89895,0.59105,1.24055,0.67332,1.15765,0.000111142,0.000111142,0.000111142
57,689.863,0.98845,0.8189,1.06122,0.8988,0.8536,0.90637,0.59107,1.24022,0.66398,1.15888,0.000108726,0.000108726,0.000108726
58,701.591,0.96759,0.80429,1.05119,0.90314,0.84359,0.90199,0.58339,1.24653,0.67738,1.15552,0.000106311,0.000106311,0.000106311
59,713.759,0.98566,0.8224,1.05652,0.9123,0.83533,0.90013,0.59122,1.2324,0.66796,1.14984,0.000103895,0.000103895,0.000103895
60,725.69,0.98796,0.83104,1.06475,0.89903,0.86365,0.90333,0.5917,1.24287,0.67,1.1546,0.00010148,0.00010148,0.00010148
61,737.644,0.96348,0.78722,1.05044,0.88508,0.85496,0.90022,0.59127,1.23137,0.6649,1.14506,9.9064e-05,9.9064e-05,9.9064e-05
62,749.695,0.97749,0.81344,1.06052,0.89735,0.85061,0.9013,0.58526,1.2399,0.6645,1.14541,9.66484e-05,9.66484e-05,9.66484e-05
63,761.853,0.97424,0.81508,1.05631,0.89986,0.85323,0.90429,0.58569,1.2488,0.66284,1.15704,9.42328e-05,9.42328e-05,9.42328e-05
64,773.774,0.96046,0.79441,1.04648,0.88673,0.86323,0.90501,0.58871,1.24106,0.661,1.15796,9.18172e-05,9.18172e-05,9.18172e-05
65,785.699,0.96031,0.78738,1.05589,0.91211,0.84879,0.90688,0.58978,1.23706,0.64974,1.15013,8.94016e-05,8.94016e-05,8.94016e-05
66,797.65,0.97091,0.76743,1.05107,0.90469,0.8396,0.90063,0.58087,1.24312,0.65638,1.15492,8.6986e-05,8.6986e-05,8.6986e-05
67,809.66,0.9533,0.78147,1.05325,0.90251,0.84475,0.90245,0.58922,1.23575,0.65405,1.16115,8.45704e-05,8.45704e-05,8.45704e-05
68,821.659,0.96167,0.79433,1.04756,0.90487,0.8568,0.90393,0.58899,1.23639,0.6555,1.15232,8.21548e-05,8.21548e-05,8.21548e-05
69,833.387,0.93806,0.76491,1.03985,0.89609,0.85771,0.90616,0.58784,1.24018,0.64859,1.15078,7.97392e-05,7.97392e-05,7.97392e-05
70,845.261,0.94921,0.78233,1.04266,0.90177,0.85582,0.91022,0.59213,1.23756,0.6497,1.14969,7.73236e-05,7.73236e-05,7.73236e-05
71,857.248,0.95181,0.77979,1.03748,0.89283,0.86756,0.91106,0.59263,1.23758,0.64439,1.15971,7.4908e-05,7.4908e-05,7.4908e-05
72,869.437,0.94284,0.76997,1.03356,0.89452,0.86227,0.90346,0.58957,1.24212,0.6454,1.15962,7.24924e-05,7.24924e-05,7.24924e-05
73,881.324,0.93382,0.7441,1.04254,0.89826,0.86104,0.91284,0.59247,1.23645,0.63509,1.15697,7.00768e-05,7.00768e-05,7.00768e-05
74,893.387,0.95597,0.79319,1.04319,0.89633,0.86299,0.90424,0.59589,1.22999,0.63586,1.14465,6.76612e-05,6.76612e-05,6.76612e-05
75,905.228,0.91494,0.80475,1.01803,0.88253,0.86998,0.90845,0.59393,1.23726,0.64161,1.15203,6.52456e-05,6.52456e-05,6.52456e-05
76,917.328,0.93054,0.73515,1.03471,0.90566,0.85826,0.91307,0.59511,1.23836,0.63322,1.16372,6.283e-05,6.283e-05,6.283e-05
77,929.373,0.91522,0.7328,1.02947,0.90695,0.86122,0.91092,0.59625,1.23749,0.63158,1.15933,6.04144e-05,6.04144e-05,6.04144e-05
78,941.312,0.90886,0.7284,1.02316,0.90743,0.85821,0.91042,0.59235,1.23642,0.63106,1.15936,5.79988e-05,5.79988e-05,5.79988e-05
79,953.247,0.89717,0.72294,1.02646,0.89168,0.87113,0.91275,0.59593,1.23844,0.62907,1.16089,5.55832e-05,5.55832e-05,5.55832e-05
80,965.401,0.91549,0.72401,1.0228,0.89892,0.86667,0.9149,0.59756,1.23856,0.62625,1.15938,5.31676e-05,5.31676e-05,5.31676e-05
81,977.763,0.90078,0.7203,1.02096,0.90298,0.86645,0.91274,0.59482,1.24029,0.62894,1.15603,5.0752e-05,5.0752e-05,5.0752e-05
82,989.727,0.90313,0.72921,1.02669,0.90223,0.87046,0.91427,0.598,1.234,0.6261,1.15646,4.83364e-05,4.83364e-05,4.83364e-05
83,1001.57,0.89154,0.7199,1.01845,0.90821,0.86291,0.91025,0.59165,1.24161,0.62927,1.15677,4.59208e-05,4.59208e-05,4.59208e-05
84,1013.54,0.89397,0.72407,1.02027,0.90919,0.86682,0.91124,0.59552,1.23846,0.62637,1.1626,4.35052e-05,4.35052e-05,4.35052e-05
85,1025.34,0.89889,0.7278,1.02487,0.90617,0.8721,0.91666,0.59745,1.23868,0.62451,1.16089,4.10896e-05,4.10896e-05,4.10896e-05
86,1037.14,0.88862,0.70877,1.01561,0.91244,0.86494,0.9142,0.5937,1.24235,0.62498,1.16382,3.8674e-05,3.8674e-05,3.8674e-05
87,1048.82,0.8956,0.72152,1.01747,0.89825,0.8661,0.90829,0.59411,1.24271,0.62915,1.16347,3.62584e-05,3.62584e-05,3.62584e-05
88,1060.71,0.89913,0.70818,1.02662,0.90286,0.87221,0.9109,0.59415,1.24169,0.62893,1.16313,3.38428e-05,3.38428e-05,3.38428e-05
