epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2627,1.5216,3.93392,1.30537,0.0145,0.33468,0.03698,0.02204,1.43667,3.73764,1.13993,0.0673976,0.000329317,0.000329317
2,41.9776,1.48977,2.8465,1.26603,0.5066,0.21055,0.16713,0.09358,1.50027,2.45676,1.26268,0.0343974,0.000662489,0.000662489
3,56.3635,1.49178,2.26022,1.29964,0.45061,0.30816,0.32201,0.19004,1.45454,1.89701,1.23153,0.00139662,0.000995011,0.000995011
4,70.0854,1.45981,1.90777,1.28536,0.56715,0.35629,0.42906,0.2572,1.43997,1.60354,1.22989,0.000997803,0.000997803,0.000997803
5,84.425,1.46404,1.67984,1.29997,0.564,0.51162,0.54368,0.32601,1.42095,1.41288,1.21236,0.000996097,0.000996097,0.000996097
6,98.4837,1.40276,1.48355,1.26268,0.63074,0.55804,0.60926,0.36122,1.43577,1.32594,1.22316,0.000993906,0.000993906,0.000993906
7,112.488,1.412,1.44471,1.2779,0.68613,0.60056,0.66707,0.39761,1.38574,1.20854,1.20983,0.000991232,0.000991232,0.000991232
8,126.383,1.39349,1.36931,1.25323,0.71969,0.60694,0.70087,0.42095,1.40144,1.15042,1.20994,0.000988079,0.000988079,0.000988079
9,140.316,1.35414,1.28042,1.24446,0.66601,0.70646,0.72616,0.43145,1.42048,1.11943,1.20878,0.000984449,0.000984449,0.000984449
10,154.337,1.38035,1.29358,1.264,0.7298,0.69257,0.76377,0.45782,1.39259,1.0419,1.21218,0.000980345,0.000980345,0.000980345
11,168.897,1.35541,1.19141,1.24471,0.78561,0.68391,0.77822,0.46988,1.36533,0.9841,1.21264,0.000975773,0.000975773,0.000975773
12,182.7,1.3285,1.15318,1.23489,0.74908,0.74884,0.79302,0.48509,1.3626,0.9638,1.20515,0.000970736,0.000970736,0.000970736
13,196.932,1.35221,1.1772,1.2493,0.75251,0.75934,0.80404,0.48725,1.35419,0.9623,1.21998,0.000965239,0.000965239,0.000965239
14,210.166,1.32582,1.09832,1.23016,0.7956,0.75101,0.81505,0.49587,1.33953,0.91116,1.17427,0.000959289,0.000959289,0.000959289
15,223.615,1.32617,1.09978,1.23485,0.77502,0.77867,0.82606,0.50286,1.34575,0.92026,1.19434,0.000952889,0.000952889,0.000952889
16,238.662,1.30125,1.05482,1.21876,0.81617,0.75431,0.83291,0.50272,1.35544,0.87401,1.18502,0.000946048,0.000946048,0.000946048
17,253.2,1.31251,1.04235,1.22089,0.8189,0.75126,0.83818,0.5091,1.31908,0.87537,1.16895,0.000938772,0.000938772,0.000938772
18,266.73,1.29415,1.01946,1.2087,0.79315,0.76981,0.83702,0.49249,1.39851,0.8787,1.19699,0.000931067,0.000931067,0.000931067
19,280.067,1.29826,1.02856,1.22284,0.82621,0.75992,0.83539,0.51358,1.30318,0.85882,1.17585,0.000922942,0.000922942,0.000922942
20,293.022,1.26891,0.97332,1.20129,0.82916,0.79388,0.8558,0.51841,1.3585,0.84258,1.18986,0.000914405,0.000914405,0.000914405
21,306.492,1.27816,0.97629,1.2076,0.87367,0.76962,0.85728,0.52346,1.33191,0.82132,1.17441,0.000905463,0.000905463,0.000905463
22,319.963,1.25313,0.95565,1.20595,0.8272,0.80476,0.86857,0.52514,1.34058,0.82451,1.17899,0.000896127,0.000896127,0.000896127
23,333.424,1.26946,0.94407,1.20514,0.82255,0.8018,0.85145,0.51925,1.33507,0.83182,1.19077,0.000886404,0.000886404,0.000886404
24,347.318,1.26373,0.93146,1.19346,0.83548,0.82523,0.88074,0.5383,1.32517,0.79007,1.16438,0.000876305,0.000876305,0.000876305
25,360.086,1.26127,0.93761,1.19658,0.86746,0.80412,0.8715,0.53161,1.31408,0.78397,1.17026,0.000865839,0.000865839,0.000865839
26,373.269,1.23738,0.89984,1.18298,0.89191,0.81747,0.88238,0.55674,1.27895,0.75179,1.14981,0.000855018,0.000855018,0.000855018
27,386.077,1.23639,0.8814,1.17754,0.8655,0.81735,0.87787,0.535,1.32889,0.77088,1.1745,0.000843851,0.000843851,0.000843851
28,399.84,1.21997,0.87825,1.17015,0.88285,0.80752,0.88484,0.54755,1.31152,0.75863,1.16395,0.000832349,0.000832349,0.000832349
29,412.864,1.23155,0.94091,1.19439,0.86288,0.83134,0.88565,0.54954,1.3014,0.74625,1.15807,0.000820525,0.000820525,0.000820525
30,427.281,1.23227,0.92079,1.17672,0.90175,0.82191,0.90174,0.55161,1.3162,0.73402,1.17587,0.000808389,0.000808389,0.000808389
31,441.272,1.21929,0.86556,1.16944,0.86466,0.82855,0.89516,0.55492,1.31151,0.73973,1.16102,0.000795954,0.000795954,0.000795954
32,455.416,1.22078,0.87216,1.18334,0.86297,0.82747,0.89175,0.56005,1.29492,0.72969,1.15775,0.000783231,0.000783231,0.000783231
33,469.114,1.19698,0.84974,1.17074,0.88425,0.84631,0.89611,0.56588,1.29247,0.7207,1.15578,0.000770234,0.000770234,0.000770234
34,483.135,1.19893,0.8264,1.15638,0.89294,0.83959,0.90787,0.56254,1.30656,0.70035,1.16636,0.000756976,0.000756976,0.000756976
35,496.975,1.19217,0.83025,1.1628,0.89601,0.84376,0.90863,0.57302,1.28535,0.69547,1.15288,0.000743468,0.000743468,0.000743468
36,510.701,1.21132,0.84254,1.16693,0.90535,0.85139,0.91158,0.57853,1.26807,0.68975,1.14441,0.000729725,0.000729725,0.000729725
37,524.571,1.18551,0.80703,1.1604,0.89395,0.86646,0.9115,0.57409,1.27902,0.69525,1.15452,0.000715761,0.000715761,0.000715761
38,538.703,1.1952,0.82732,1.16549,0.89675,0.87039,0.92158,0.5855,1.2611,0.67329,1.1369,0.000701588,0.000701588,0.000701588
39,552.683,1.1741,0.79051,1.15095,0.92224,0.85644,0.91666,0.57175,1.29102,0.68422,1.14658,0.000687222,0.000687222,0.000687222
40,566.457,1.18205,0.82171,1.16046,0.89574,0.84923,0.90945,0.57774,1.26212,0.67918,1.14225,0.000672675,0.000672675,0.000672675
41,581.06,1.17852,0.81786,1.16444,0.89499,0.8702,0.91367,0.57625,1.26588,0.66509,1.14187,0.000657963,0.000657963,0.000657963
42,595.13,1.18335,0.81432,1.1559,0.92166,0.84587,0.91652,0.57074,1.28373,0.6852,1.15912,0.000643101,0.000643101,0.000643101
43,609.264,1.17388,0.7989,1.14879,0.91308,0.85045,0.91867,0.57529,1.29345,0.67827,1.15299,0.000628101,0.000628101,0.000628101
44,622.785,1.15696,0.7804,1.14009,0.90507,0.86987,0.92212,0.58635,1.25598,0.66084,1.12954,0.000612981,0.000612981,0.000612981
45,636.647,1.16046,0.77178,1.13914,0.90039,0.87291,0.91795,0.57924,1.28512,0.6588,1.14878,0.000597754,0.000597754,0.000597754
46,650.164,1.17861,0.79166,1.17915,0.90611,0.86929,0.92019,0.59265,1.25195,0.64805,1.14441,0.000582435,0.000582435,0.000582435
47,664.232,1.14762,0.75519,1.13405,0.89266,0.87797,0.91753,0.58143,1.26478,0.6457,1.13576,0.00056704,0.00056704,0.00056704
48,677.866,1.14096,0.7521,1.12711,0.9053,0.87087,0.91294,0.56972,1.28334,0.65444,1.14769,0.000551584,0.000551584,0.000551584
49,691.552,1.1533,0.75748,1.13919,0.89874,0.88576,0.92417,0.5833,1.27587,0.64983,1.15781,0.000536081,0.000536081,0.000536081
50,705.352,1.1439,0.74423,1.12934,0.9228,0.88147,0.92826,0.5995,1.25907,0.6318,1.14443,0.000520548,0.000520548,0.000520548
51,719.358,1.15549,0.74546,1.13173,0.9132,0.88852,0.93141,0.60154,1.25287,0.62524,1.13103,0.000505,0.000505,0.000505
52,733.269,1.12972,0.74358,1.1272,0.92166,0.88095,0.93314,0.59917,1.24652,0.61907,1.1346,0.000489452,0.000489452,0.000489452
53,746.932,1.1204,0.72839,1.11938,0.91226,0.89047,0.92901,0.59763,1.23919,0.6145,1.13858,0.000473919,0.000473919,0.000473919
54,760.703,1.14208,0.75618,1.11847,0.93227,0.87349,0.92188,0.58911,1.26257,0.62249,1.13627,0.000458416,0.000458416,0.000458416
55,774.417,1.12806,0.7406,1.11387,0.92097,0.88943,0.92881,0.60222,1.25518,0.61975,1.13679,0.00044296,0.00044296,0.00044296
56,788.088,1.11351,0.72862,1.11415,0.92627,0.88584,0.92933,0.59959,1.24987,0.61947,1.13001,0.000427565,0.000427565,0.000427565
57,801.504,1.12579,0.774,1.1214,0.90741,0.90041,0.92646,0.59658,1.24422,0.60637,1.12976,0.000412246,0.000412246,0.000412246
58,815.244,1.09439,0.69999,1.10049,0.91575,0.88908,0.9291,0.60347,1.24331,0.60961,1.1296,0.000397019,0.000397019,0.000397019
59,828.927,1.08615,0.72107,1.10238,0.93212,0.8949,0.93501,0.61432,1.22765,0.59888,1.12732,0.000381899,0.000381899,0.000381899
60,842.488,1.09657,0.68815,1.10566,0.93414,0.88738,0.92857,0.60354,1.23438,0.60246,1.12678,0.000366899,0.000366899,0.000366899
61,855.997,1.0894,0.6991,1.10592,0.92713,0.88855,0.92933,0.60376,1.2212,0.60138,1.12862,0.000352037,0.000352037,0.000352037
62,869.536,1.06706,0.68348,1.09698,0.91638,0.90089,0.93055,0.60238,1.23148,0.60249,1.1314,0.000337325,0.000337325,0.000337325
63,883.299,1.07469,0.68113,1.09481,0.94094,0.89467,0.93338,0.61136,1.2304,0.58977,1.12801,0.000322778,0.000322778,0.000322778
64,896.884,1.06447,0.67221,1.09301,0.93681,0.89641,0.93609,0.61026,1.23186,0.58963,1.12482,0.000308412,0.000308412,0.000308412
65,910.351,1.05912,0.68198,1.10163,0.93243,0.90283,0.93132,0.60473,1.23754,0.58691,1.12528,0.000294239,0.000294239,0.000294239
66,923.854,1.06325,0.68521,1.09718,0.93088,0.89839,0.93285,0.60923,1.2255,0.59371,1.12473,0.000280275,0.000280275,0.000280275
67,937.607,1.06032,0.66499,1.09936,0.94083,0.89753,0.93252,0.60742,1.22512,0.59196,1.12804,0.000266532,0.000266532,0.000266532
68,951.206,1.06441,0.66674,1.0918,0.94246,0.88522,0.93123,0.59993,1.24484,0.58665,1.12789,0.000253024,0.000253024,0.000253024
69,964.697,1.05717,0.67655,1.09746,0.93919,0.89157,0.93382,0.60811,1.22869,0.5843,1.12867,0.000239766,0.000239766,0.000239766
70,978.327,1.05352,0.71782,1.09327,0.93347,0.8991,0.93123,0.60591,1.22356,0.58307,1.12519,0.000226769,0.000226769,0.000226769
71,992.174,1.0256,0.64053,1.07264,0.93611,0.89619,0.93292,0.60948,1.22095,0.57662,1.12543,0.000214046,0.000214046,0.000214046
72,1005.78,1.0352,0.66007,1.0805,0.93358,0.89188,0.93718,0.61506,1.22441,0.57536,1.1241,0.000201611,0.000201611,0.000201611
73,1019.4,1.02265,0.6386,1.07563,0.92425,0.8932,0.93229,0.60927,1.2225,0.58055,1.12308,0.000189475,0.000189475,0.000189475
